127.0.0.1 - - [14/Feb/2025:10:23:56 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:23:58 +0530] "GET /webTestEmp/depts HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:23:58 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:24:00 +0530] "GET /webTestEmp/depts HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:24:01 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:24:03 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:24:05 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:24:06 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:24:07 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:24:08 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:24:09 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:24:10 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:24:10 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:24:12 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:24:13 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:24:13 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:24:14 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:24:14 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:24:15 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:24:19 +0530] "GET /webTestEmp/depts HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:24:20 +0530] "GET /webTestEmp/depts HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:24:20 +0530] "GET /webTestEmp/depts HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:24:55 +0530] "GET /webTestEmp/depts HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:25:39 +0530] "GET /webTestEmp/depts HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:25:40 +0530] "GET /webTestEmp/depts HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:25:57 +0530] "GET /webTestEmp/depts HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2025:10:25:58 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 973
